epoch,learning_rate,loss,mae,mse,val_loss,val_mae,val_mse
0,0.0010000000474974513,1.3482649326324463,1.3482649326324463,2.6550581455230713,1.6843756437301636,1.6843756437301636,4.768298625946045
1,0.0010000000474974513,1.191341519355774,1.191341519355774,2.1532557010650635,1.2159141302108765,1.2159141302108765,2.2812349796295166
2,0.0010000000474974513,1.1178158521652222,1.1178158521652222,1.9522104263305664,1.2116435766220093,1.2116435766220093,2.2710061073303223
3,0.0010000000474974513,1.1118996143341064,1.1118996143341064,1.8948376178741455,1.336327075958252,1.336327075958252,2.580517053604126
4,0.0010000000474974513,1.1129839420318604,1.1129839420318604,1.9510645866394043,1.1871669292449951,1.1871669292449951,2.1270904541015625
5,0.0010000000474974513,1.0536248683929443,1.0536248683929443,1.803584098815918,1.3477727174758911,1.3477727174758911,2.7336266040802
6,0.0010000000474974513,1.1311156749725342,1.1311156749725342,1.975781798362732,1.3694943189620972,1.3694943189620972,2.6753225326538086
7,0.0010000000474974513,1.2080881595611572,1.2080881595611572,2.1442747116088867,1.2430766820907593,1.2430766820907593,2.3025875091552734
8,0.0010000000474974513,1.1958637237548828,1.1958637237548828,2.117449998855591,1.2625244855880737,1.2625244855880737,2.6233901977539062
9,0.0010000000474974513,1.1805845499038696,1.1805845499038696,2.113314390182495,1.3103152513504028,1.3103152513504028,2.52593994140625
10,0.0010000000474974513,1.2707209587097168,1.2707209587097168,2.239981174468994,1.433902621269226,1.433902621269226,2.7630677223205566
11,0.0010000000474974513,1.2900409698486328,1.2900409698486328,2.262237310409546,1.4434019327163696,1.4434019327163696,2.9420933723449707
12,0.0010000000474974513,1.2766786813735962,1.2766786813735962,2.2412984371185303,1.4178577661514282,1.4178577661514282,2.778229236602783
13,0.0005000000237487257,1.2885645627975464,1.2885645627975464,2.2195448875427246,1.3510104417800903,1.3510104417800903,2.525639772415161
14,0.0005000000237487257,1.2386473417282104,1.2386473417282104,2.14086651802063,1.2914199829101562,1.2914199829101562,2.5784337520599365
15,0.0005000000237487257,1.2153609991073608,1.2153609991073608,2.129481315612793,1.3041292428970337,1.3041292428970337,2.6598081588745117
16,0.0005000000237487257,1.2074086666107178,1.2074086666107178,2.1384410858154297,1.33479905128479,1.33479905128479,2.6564667224884033
17,0.0005000000237487257,1.1990165710449219,1.1990165710449219,2.0979228019714355,1.282114863395691,1.282114863395691,2.44598388671875
18,0.0005000000237487257,1.1942662000656128,1.1942662000656128,2.087106227874756,1.2924017906188965,1.2924017906188965,2.4663584232330322
19,0.0005000000237487257,1.1999574899673462,1.1999574899673462,2.1140666007995605,1.3259210586547852,1.3259210586547852,2.5144639015197754
