epoch,learning_rate,loss,mae,mse,val_loss,val_mae,val_mse
0,9.999999747378752e-05,0.783512532711029,0.783512532711029,1.0547577142715454,0.7064489722251892,0.7064489722251892,0.8701645135879517
1,9.999999747378752e-05,0.7210073471069336,0.7210073471069336,0.892818033695221,0.650605320930481,0.650605320930481,0.7481348514556885
2,9.999999747378752e-05,0.6826786994934082,0.6826786994934082,0.8113465905189514,0.6445608735084534,0.6445608735084534,0.7315009832382202
3,9.999999747378752e-05,0.6634185314178467,0.6634185314178467,0.774956226348877,0.6448459625244141,0.6448459625244141,0.7308650612831116
4,9.999999747378752e-05,0.644670844078064,0.644670844078064,0.7394925951957703,0.7085736393928528,0.7085736393928528,0.9152352213859558
5,9.999999747378752e-05,0.6395106911659241,0.6395106911659241,0.7310546040534973,0.6407845616340637,0.6407845616340637,0.7107973694801331
6,9.999999747378752e-05,0.6253789663314819,0.6253789663314819,0.708287239074707,0.6455405354499817,0.6455405354499817,0.7367250919342041
7,9.999999747378752e-05,0.6183890104293823,0.6183890104293823,0.6941577196121216,0.6522237658500671,0.6522237658500671,0.7650898694992065
8,9.999999747378752e-05,0.6157526969909668,0.6157526969909668,0.691572368144989,0.675972044467926,0.675972044467926,0.7612310647964478
9,9.999999747378752e-05,0.6079382300376892,0.6079382300376892,0.6783494353294373,0.642326295375824,0.642326295375824,0.7274123430252075
10,9.999999747378752e-05,0.5978269577026367,0.5978269577026367,0.6616636514663696,0.6542614102363586,0.6542614102363586,0.7520469427108765
11,9.999999747378752e-05,0.5916901230812073,0.5916901230812073,0.648444414138794,0.7016109824180603,0.7016109824180603,0.8340553641319275
12,9.999999747378752e-05,0.5866594910621643,0.5866594910621643,0.6412404775619507,0.6596440672874451,0.6596440672874451,0.7846201062202454
13,4.999999873689376e-05,0.5674197673797607,0.5674197673797607,0.6116818785667419,0.6529935598373413,0.6529935598373413,0.7554539442062378
14,4.999999873689376e-05,0.5626382231712341,0.5626382231712341,0.6047407984733582,0.6697480082511902,0.6697480082511902,0.7828972935676575
15,4.999999873689376e-05,0.5578867197036743,0.5578867197036743,0.5983098745346069,0.6447532176971436,0.6447532176971436,0.74445641040802
16,4.999999873689376e-05,0.554814875125885,0.554814875125885,0.5893146395683289,0.6496963500976562,0.6496963500976562,0.749537467956543
17,4.999999873689376e-05,0.5488906502723694,0.5488906502723694,0.5814461708068848,0.6451393365859985,0.6451393365859985,0.7439972758293152
18,4.999999873689376e-05,0.545437216758728,0.545437216758728,0.5751027464866638,0.6567690968513489,0.6567690968513489,0.7753112316131592
19,4.999999873689376e-05,0.5393982529640198,0.5393982529640198,0.5661422610282898,0.6835778951644897,0.6835778951644897,0.8428595662117004
20,2.499999936844688e-05,0.5339062213897705,0.5339062213897705,0.5584981441497803,0.6720123887062073,0.6720123887062073,0.8018965721130371
